Designator,Mid X,Mid Y,Rotation,Layer
R59,173.372053,-40.02303,180.0,bottom
R6,152.9,-91.47,180.0,top
R60,173.307053,-41.63303,180.0,bottom
R61,152.927053,-40.86303,180.0,top
R62,167.752053,-41.49303,90.0,top
R63,159.300053,-47.94303,0.0,top
R64,153.292053,-45.13303,180.0,top
R65,154.892053,-46.72303,270.0,top
R7,186.94,-115.435,90.0,top
R8,188.76,-115.445,90.0,top
R9,173.68,-109.24,0.0,top
SW1,190.09,-121.66,90.0,top
SW2,137.320984,-59.196038,270.0,top
U1,188.375,-128.6925,0.0,top
U10,148.385,-120.865,90.0,bottom
U11,156.860541,-118.234959,180.0,top
U12,177.06,-124.35,90.0,top
U13,174.345,-106.15,270.0,top
U14,134.020984,-67.106038,270.0,top
U15,169.779553,-46.70303,0.0,top
U16,188.77,-135.4,270.0,top
U17,152.482053,-42.34303,0.0,bottom
U18,163.622053,-44.82303,180.0,top
U19,136.820984,-58.546038,180.0,bottom
U2,139.065984,-63.916038,270.0,bottom
U20,168.5875,-101.58,180.0,top
U3,172.257053,-43.50303,90.0,bottom
U4,122.62,-105.64,90.0,top
U5,159.362,-129.686,180.0,bottom
U6,157.14,-109.36,270.0,bottom
U7,183.39,-105.68,270.0,top
U8,153.6125,-105.23,0.0,bottom
U9,126.580984,-71.798538,0.0,bottom
Y1,131.740984,-61.456038,180.0,top
Y2,169.702053,-41.45303,180.0,top
Y3,177.4,-132.86,180.0,top
